EstablishmentName,URN,Latitude,Longitude,Overall effectiveness,Inspection start date,Ofsted Rating,diffn_p8mea,p8_banding,diffn_att8
Haverstock School,100049,51.5448319,-0.1531931,2,02/07/2019,Good,-0.45,Average,-7.4
Parliament Hill School,100050,51.5582298,-0.1497877,1,22/05/2024,Outstanding,0.02,Well above average,0.1
Regent High School,100051,51.5335132,-0.133257,2,29/11/2012,Good,-0.49,Below average,-6.1
Hampstead School,100052,51.5557207,-0.2071305,2,19/04/2023,Good,-0.99,Below average,-15.4
Acland Burghley School,100053,51.5572783,-0.1402079,2,06/03/2018,Good,-1.29,Below average,-16.7
The Camden School for Girls,100054,51.5455937,-0.1344416,2,08/06/2022,Good,-0.04,Well above average,5.1
Maria Fidelis Catholic School FCJ,100055,51.530366,-0.1319823,2,07/03/2013,Good,-0.86,Well below average,-11.7
William Ellis School,100056,51.5589818,-0.1505269,Not judged,08/10/2024,Not judged,-0.64,Average,-8.3
La Sainte Union Catholic Secondary School,100059,51.5605836,-0.1477957,Not judged,03/12/2024,Not judged,-0.24,Average,-5.4
Eltham Hill School,100182,51.4509184,0.0454408,2,15/01/2019,Good,-0.51,Above average,-8.0
Plumstead Manor School,100183,51.4821599,0.084761,3,14/06/2023,Requires Improvement,-1.1,Well below average,-18.3
Eaglesfield School,100184,51.4744801,0.062872,,,,,,
Kidbrooke School,100185,51.46898,0.04126,,,,,,
Woolwich Polytechnic School for Boys,100187,51.5032579,0.1088343,,,,,,
The Eltham Foundation School,100188,51.4513912,0.0386952,,,,,,
Thomas Tallis School,100190,51.4657327,0.026192,2,11/12/2018,Good,-1.11,Average,-21.1
Waterfield School,100191,51.5032579,0.1088343,,,,,,
The John Roan School,100192,51.4789124,0.0094979,,,,,,
St Ursula's Convent School,100193,51.4757654,-0.0063595,3,30/01/2024,Requires Improvement,-0.58,Average,-3.9
St Paul's Catholic School,100194,51.48027,0.10364,,,,,,
Blackheath Bluecoat Church of England School,100195,51.4762029,0.0275057,,,,,,
St Thomas More Roman Catholic Comprehensive School,100196,51.4467854,0.0623449,,,,,,
Hackney Downs School,100276,51.5527938,-0.0607037,,,,,,
Haggerston School,100277,51.5326048,-0.0710969,,,,,,
Clapton Girls' Technology College,100278,51.5539847,-0.0519982,,,,,,
Stoke Newington School and Sixth Form,100279,51.558946,-0.0848389,2,23/10/2013,Good,-0.43,Above average,-8.6
Kingsland School,100281,51.5520265,-0.0698124,,,,,,
The Skinners' Company's School for Girls,100283,51.5727325,-0.0736378,,,,,,
The Urswick School - A Church of England Secondary School,100284,51.544418,-0.052758,2,05/12/2023,Good,-0.61,Below average,-13.3
Cardinal Pole Catholic School,100285,51.5466395,-0.0462629,,,,-0.18,Average,-6.5
Fulham College Boys' School,100358,51.4776772,-0.2149022,,,,,,
Phoenix High School,100359,51.5131514,-0.2375407,,,,,,
Fulham Cross Girls' School and Language College,100360,51.4812693,-0.2140947,,,,,,
Hurlingham and Chelsea Secondary School,100361,51.4676258,-0.1961771,,,,,,
Burlington Danes CofE School,100362,51.518167,-0.2325362,,,,,,
Sacred Heart High School,100363,51.4940174,-0.2229227,,,,,,
