EstablishmentName,URN,Latitude,Longitude
Haverstock School,100049,51.5448319,-0.1531931
Parliament Hill School,100050,51.5582298,-0.1497877
Regent High School,100051,51.5335132,-0.133257
Hampstead School,100052,51.5557207,-0.2071305
Acland Burghley School,100053,51.5572783,-0.1402079
The Camden School for Girls,100054,51.5455937,-0.1344416
Maria Fidelis Catholic School FCJ,100055,51.530366,-0.1319823
William Ellis School,100056,51.5589818,-0.1505269
La Sainte Union Catholic Secondary School,100059,51.5605836,-0.1477957
Eltham Hill School,100182,51.4509184,0.0454408
Plumstead Manor School,100183,51.4821599,0.084761
Eaglesfield School,100184,51.4744801,0.062872
Kidbrooke School,100185,51.46898,0.04126
Woolwich Polytechnic School for Boys,100187,51.5032579,0.1088343
The Eltham Foundation School,100188,51.4513912,0.0386952
Thomas Tallis School,100190,51.4657327,0.026192
Waterfield School,100191,51.5032579,0.1088343
The John Roan School,100192,51.4789124,0.0094979
St Ursula's Convent School,100193,51.4757654,-0.0063595
St Paul's Catholic School,100194,51.48027,0.10364
Blackheath Bluecoat Church of England School,100195,51.4762029,0.0275057
St Thomas More Roman Catholic Comprehensive School,100196,51.4467854,0.0623449
Hackney Downs School,100276,51.5527938,-0.0607037
Haggerston School,100277,51.5326048,-0.0710969
Clapton Girls' Technology College,100278,51.5539847,-0.0519982
Stoke Newington School and Sixth Form,100279,51.558946,-0.0848389
Kingsland School,100281,51.5520265,-0.0698124
The Skinners' Company's School for Girls,100283,51.5727325,-0.0736378
The Urswick School - A Church of England Secondary School,100284,51.544418,-0.052758
Cardinal Pole Catholic School,100285,51.5466395,-0.0462629
Fulham College Boys' School,100358,51.4776772,-0.2149022
Phoenix High School,100359,51.5131514,-0.2375407
Fulham Cross Girls' School and Language College,100360,51.4812693,-0.2140947
Hurlingham and Chelsea Secondary School,100361,51.4676258,-0.1961771
Burlington Danes CofE School,100362,51.518167,-0.2325362
Sacred Heart High School,100363,51.4940174,-0.2229227
Lady Margaret School,100364,51.4742808,-0.199095
Highbury Grove School,100452,51.5489688,-0.0976243
Beacon High,100453,51.5531331,-0.1292455
Islington Green School,100454,51.535986,-0.0974961
Highbury Fields School,100455,51.5528076,-0.101242
George Orwell School,100456,51.5676075,-0.1155032
Elizabeth Garrett Anderson School,100457,51.5330491,-0.1133881
Central Foundation Boys' School,100458,51.5249948,-0.0858182
St Aloysius RC College,100459,51.5697942,-0.1384624
Mount Carmel Catholic College for Girls,100460,51.5679753,-0.1295276
Holland Park School,100501,51.5048399,-0.2007014
Saint Thomas More Language College,100502,51.4927635,-0.1614452
All Saints Catholic College,100503,51.5206694,-0.2140512
The Cardinal Vaughan Memorial RC School,100506,51.5038283,-0.2117899
The Norwood School,100624,51.4234129,-0.0989967
Lilian Baylis Technology School,100625,51.4861852,-0.1197437
Stockwell Park School,100626,51.4731794,-0.1191345
Saint Gabriel's College,100627,51.4759979,-0.1023261
La Retraite Roman Catholic Girls' School,100637,51.4475272,-0.1434106
Bishop Thomas Grant Catholic Secondary School,100638,51.4250841,-0.11928
Dunraven School,100639,51.4336,-0.12159
Archbishop Tenison's School,100640,51.4825057,-0.1157326
St Martin in the Fields High School for Girls,100641,51.4442993,-0.1082735
London Nautical School,100642,51.5064947,-0.1082032
Deptford Green School,100740,51.47825,-0.03576
Sydenham School,100741,51.434202,-0.0595589
Conisborough College,100742,51.4339993,-0.0096448
Sedgehill School,100743,51.4232654,-0.0219418
Forest Hill School,100745,51.4325949,-0.0485251
Addey and Stanhope School,100748,51.4748962,-0.0270473
Prendergast School,100750,51.4587835,-0.0267848
Aylwin Girls' School,100842,51.4931989,-0.0718427
Walworth School,100843,51.4876736,-0.0781109
Kingsdale Foundation School,100844,51.4323633,-0.0845399
Dulwich High School for Boys,100845,51.4564237,-0.0888641
Waverley School,100846,51.4570298,-0.054996
Geoffrey Chaucer Technology College,100847,51.4954558,-0.0911751
Warwick Park School,100848,51.472721,-0.0736921
St Saviour's and St Olave's Church of England School,100849,51.4947738,-0.0873566
Archbishop Michael Ramsey Technology College,100850,51.4783443,-0.1017025
The St Thomas the Apostle College,100857,51.4712414,-0.0560877
St Michael's Catholic College,100858,51.4998905,-0.0675919
Notre Dame Roman Catholic Girls' School,100859,51.49698,-0.10614
Sacred Heart Roman Catholic Secondary School,100860,51.475187,-0.097483
Bow School,100965,51.5228627,-0.0094971
Langdon Park Community School,100966,51.5147165,-0.0120911
Morpeth School,100967,51.5268119,-0.048519
Mulberry School for Girls,100968,51.5138302,-0.0598555
Stepney Green Mathematics and Computing College,100969,51.5185319,-0.0421638
Bethnal Green Technology College,100971,51.5270697,-0.0699575
Oaklands School,100972,51.5300847,-0.0581078
Swanlea School,100973,51.5208901,-0.0602108
George Green's School,100974,51.4878026,-0.0082521
Central Foundation Girls' School,100975,51.527472,-0.0282033
Stepney All Saints Church of England Secondary School,100977,51.5161686,-0.0441539
Bishop Challoner Catholic School,100978,51.5134165,-0.0495893
Raine's Foundation School,100979,51.5313369,-0.0511202
Ernest Bevin College,101053,51.439099,-0.1698475
Chestnut Grove School,101054,51.4443666,-0.1550127
Battersea Park School,101055,51.4732594,-0.1591265
Burntwood School,101059,51.4373787,-0.1791419
Southfields Community College,101063,51.4453217,-0.197241
Pimlico School,101148,51.4878954,-0.1374036
Quintin Kynaston School,101149,51.538352,-0.1765544
North Westminster Community School,101150,51.5216674,-0.169056
The Grey Coat Hospital,101151,51.4958987,-0.1340776
The St Marylebone CofE School,101152,51.5221193,-0.152065
Westminster City School,101153,51.4977608,-0.1387624
St Augustine's Federated Schools: CE High School,101154,51.5341142,-0.1922137
St George's Catholic School,101155,51.5328603,-0.1874863
The Ravenscroft School A Technology College,101346,51.638627,-0.2003176
Whitefield School,101347,51.57341,-0.21916
Copthall School,101349,51.6093189,-0.2311211
Christ's College Finchley,101350,51.5919911,-0.1875193
The Compton School,101352,51.6092498,-0.1632726
Christ Church CofE Secondary School,101353,51.6128914,-0.1668585
The Henrietta Barnett School,101354,51.5812559,-0.1886632
Hendon School,101357,51.5857,-0.21784
Mill Hill County High School,101359,51.6296031,-0.2485658
St Mary's CofE High School,101360,51.59221,-0.22312
Finchley Catholic High School,101362,51.6221777,-0.181956
Ashmole School,101363,51.6291865,-0.1328883
St James' Catholic High School,101364,51.6007383,-0.2407222
Bishop Douglass School Finchley,101365,51.5943836,-0.1791992
Hasmonean High School,101366,51.5964699,-0.21443
Willesden High School,101551,51.53996,-0.23293
Kingsbury High School,101559,51.5894813,-0.275326
Queens Park Community School,101560,51.540337,-0.2190511
Convent of Jesus and Mary Language College,101561,51.5377704,-0.2455301
Newman Catholic College,101564,51.5379461,-0.2383165
John Kelly Boys' Technology College,101565,51.5630499,-0.24202
