EstablishmentName,URN,Latitude,Longitude,Overall effectiveness,Inspection start date,Ofsted Rating
Haverstock School,100049,51.5448319,-0.1531931,2,02/07/2019,Good
Parliament Hill School,100050,51.5582298,-0.1497877,1,22/05/2024,Outstanding
Regent High School,100051,51.5335132,-0.133257,2,29/11/2012,Good
Hampstead School,100052,51.5557207,-0.2071305,2,19/04/2023,Good
Acland Burghley School,100053,51.5572783,-0.1402079,2,06/03/2018,Good
The Camden School for Girls,100054,51.5455937,-0.1344416,2,08/06/2022,Good
Maria Fidelis Catholic School FCJ,100055,51.530366,-0.1319823,2,07/03/2013,Good
William Ellis School,100056,51.5589818,-0.1505269,Not judged,08/10/2024,Not judged
La Sainte Union Catholic Secondary School,100059,51.5605836,-0.1477957,Not judged,03/12/2024,Not judged
Eltham Hill School,100182,51.4509184,0.0454408,2,15/01/2019,Good
Plumstead Manor School,100183,51.4821599,0.084761,3,14/06/2023,Requires Improvement
Eaglesfield School,100184,51.4744801,0.062872,nan,,
Kidbrooke School,100185,51.46898,0.04126,nan,,
Woolwich Polytechnic School for Boys,100187,51.5032579,0.1088343,nan,,
The Eltham Foundation School,100188,51.4513912,0.0386952,nan,,
Thomas Tallis School,100190,51.4657327,0.026192,2,11/12/2018,Good
Waterfield School,100191,51.5032579,0.1088343,nan,,
The John Roan School,100192,51.4789124,0.0094979,nan,,
St Ursula's Convent School,100193,51.4757654,-0.0063595,3,30/01/2024,Requires Improvement
St Paul's Catholic School,100194,51.48027,0.10364,nan,,
Blackheath Bluecoat Church of England School,100195,51.4762029,0.0275057,nan,,
St Thomas More Roman Catholic Comprehensive School,100196,51.4467854,0.0623449,nan,,
Hackney Downs School,100276,51.5527938,-0.0607037,nan,,
Haggerston School,100277,51.5326048,-0.0710969,nan,,
Clapton Girls' Technology College,100278,51.5539847,-0.0519982,nan,,
Stoke Newington School and Sixth Form,100279,51.558946,-0.0848389,2,23/10/2013,Good
Kingsland School,100281,51.5520265,-0.0698124,nan,,
The Skinners' Company's School for Girls,100283,51.5727325,-0.0736378,nan,,
The Urswick School - A Church of England Secondary School,100284,51.544418,-0.052758,2,05/12/2023,Good
Cardinal Pole Catholic School,100285,51.5466395,-0.0462629,nan,,
Fulham College Boys' School,100358,51.4776772,-0.2149022,nan,,
Phoenix High School,100359,51.5131514,-0.2375407,nan,,
Fulham Cross Girls' School and Language College,100360,51.4812693,-0.2140947,nan,,
Hurlingham and Chelsea Secondary School,100361,51.4676258,-0.1961771,nan,,
Burlington Danes CofE School,100362,51.518167,-0.2325362,nan,,
Sacred Heart High School,100363,51.4940174,-0.2229227,nan,,
Lady Margaret School,100364,51.4742808,-0.199095,nan,,
Highbury Grove School,100452,51.5489688,-0.0976243,nan,,
Beacon High,100453,51.5531331,-0.1292455,2,16/11/2022,Good
Islington Green School,100454,51.535986,-0.0974961,nan,,
Highbury Fields School,100455,51.5528076,-0.101242,1,04/10/2016,Outstanding
George Orwell School,100456,51.5676075,-0.1155032,nan,,
Elizabeth Garrett Anderson School,100457,51.5330491,-0.1133881,1,16/12/2014,Outstanding
Central Foundation Boys' School,100458,51.5249948,-0.0858182,1,03/02/2015,Outstanding
St Aloysius RC College,100459,51.5697942,-0.1384624,2,07/06/2022,Good
